band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,247,245,240,243,235,269,246,230,248,266,215,280,12
830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,830,551,1073,1567,1826,1697,1232,1284,782,1285,589,,,,,,,,,,,,,,,,,,,,,,,,
26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,26,25,24,25,22,25,30,25,24,20,31,26,93
1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,1501,1524,1320,1698,1269,1758,1436,1593,1512,1246,1779,1520,146
1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,1367,1799,1583,1581,1583,1360,1552,1831,879,1886,1781,1793,168
1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,1933,1920,1941,1935,1888,1852,2055,1836,2010,1951,1926,1938,175
1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,1261,1413,1111,2016,1455,1435,1499,1454,1447,1450,1475,1459,582
932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,932,922,867,989,963,858,941,757,872,1243,931,939,7
3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,3,14,0,11,5,3,5,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,2015,2421,2184,2453,1877,2717,1839,2603,2389,1857,2717,2315,384
