band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,330,319,326,340,305,335,345,295,369,12
1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,1325,1129,1567,1826,1697,1232,1708,1643,589,,,,,,,,,,,,
34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,34,34,32,35,32,35,24,41,36,93
2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,2015,2020,2008,2019,2019,2018,1961,2032,2064,146
2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,2107,1872,2351,2035,2152,2139,1807,2382,2150,168
2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,2492,2616,2620,2486,2664,2482,2663,2585,2577,175
1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,1801,1984,2016,1926,1456,2461,1916,1973,1942,582
1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,1240,1248,1222,1271,1078,1170,1486,1253,1246,7
3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,3,14,15,4,5,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,2737,3349,2987,3087,2734,3215,2927,3305,3046,384
1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,1488,1361,1609,1491,1489,1488,1488,1464,1512,391
63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,63,71,67,59,76,76,73,69,70,637
3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,3585,3650,3601,3645,3615,3618,3567,3663,3638,472
1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,1646,2308,2170,2041,2038,2043,2046,2034,2059,432
496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,496,457,525,500,505,492,501,496,497,198
1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,1213,1345,1257,1332,1308,1168,1445,1285,1308,624
1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,1139,1220,1281,1091,1228,1199,1350,1190,1353,267
1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,1513,1394,1618,1527,1509,1513,1516,1513,1513,493
4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,4507,4409,4243,4962,3224,5447,4913,4019,5049,344
1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,1879,1820,1977,1876,1912,1874,1891,1911,1897,251
