band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,297,295,297,273,317,288,287,295,246,369,12
830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,830,1568,56,1567,1826,1697,1948,1350,1285,589,,,,,,,,,,,,
30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,30,31,28,32,26,35,30,26,34,31,93
1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,1813,1814,1783,1852,1808,1436,2194,1810,1816,1830,146
1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,1899,1885,1872,1824,1793,2092,1764,2000,1716,2150,168
2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,2276,2331,2331,2335,2196,2437,2265,2371,2324,2319,175
1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,1748,1711,1544,1359,2329,1793,1611,1881,1749,1750,582
1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,1108,1078,1056,1244,1045,1124,1194,973,1261,1131,7
3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,3,14,11,4,4,5,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,2737,2737,2712,2764,2717,2764,2738,2738,2633,2847,384
