band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,269,263,257,289,251,287,245,292,261,270,280,12
830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,830,551,1073,1567,1826,1697,1232,716,1350,1285,589,,,,,,,,,,,,
28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,28,27,28,26,29,27,26,27,28,26,31,93
1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,1642,1649,1614,1408,1939,1648,1434,1668,1846,1582,1726,146
1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,1660,1793,1719,1734,1667,1716,1076,2170,1886,1781,1793,168
2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,2062,2137,2120,2067,2140,2049,2019,2215,2159,2088,2129,175
1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,1261,1413,1992,1689,1372,1456,1573,1952,1589,1572,1606,582
976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,976,907,1139,1050,934,1053,1072,970,1074,1015,1024,7
3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,3,14,11,5,3,5,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,2456,1980,2870,2530,2509,2549,2329,2428,2704,2530,2502,384
