band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,212,212,200,223,207,213,212,184,234,219,211,212,212,213,12
830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,830,551,1073,1567,1826,1697,1948,568,1083,984,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,21,23,21,22,21,22,17,23,21,21,26,21,22,22,93
1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,1289,1305,1291,1282,1146,999,1758,1304,1290,1304,1290,1293,1308,1297,146
1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,1354,1132,1493,1308,1299,1486,1201,1552,1334,1376,1389,1175,1528,1368,168
1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,1604,1699,1534,1788,1607,1600,1637,1729,1703,1645,1668,1652,1662,1657,175
1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,1142,1220,1383,1245,1241,1258,1202,1249,1236,1282,1234,1284,1249,1250,582
786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,786,814,700,879,576,957,819,853,825,737,846,819,802,801,7
3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,1913,1533,2088,2188,2016,1977,1952,1839,1717,2325,1488,2354,1840,2157,384
