band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,198,193,201,197,186,187,218,201,186,188,198,196,194,222,199,12
806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,806,575,1017,56,1567,1826,1697,1232,716,992,659,984,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,21,20,20,20,19,21,19,21,21,20,20,16,21,22,22,93
1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,1193,1148,1286,1010,1406,1219,1180,1203,861,1593,903,1508,1077,1281,1288,146
1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,1267,1219,1298,1245,1301,1150,1093,1482,1310,1291,879,1594,1331,1258,1277,168
1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,1482,1514,1611,1524,1598,1544,1501,1506,1626,1454,1592,1590,1551,1546,1546,175
1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,1142,659,1658,1197,1145,561,1365,1456,1301,1160,1171,1161,1169,1164,1166,582
728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,728,750,708,535,989,776,520,975,674,574,872,721,870,774,748,7
3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,3,0,14,11,4,1,5,3,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,1825,1621,2028,1825,1774,1877,1395,2228,1858,1678,1542,2256,1700,1954,1826,384
