band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,228,227,229,226,229,190,252,237,226,216,236,236,232,12
830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,830,551,1073,1567,1826,1697,1232,1284,1083,984,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,24,23,23,23,24,23,21,23,25,17,30,23,24,93
1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,1390,1395,1370,1412,1383,1429,1385,742,2063,1042,1735,1384,1426,146
1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,1367,1538,1477,1274,1286,1631,1654,1138,1764,1334,1509,1561,1462,168
1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,1758,1785,1807,1732,1832,1707,1863,1761,1805,1722,1840,1777,1796,175
1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,1261,1413,1111,1218,1359,1365,1456,1571,1341,1195,1483,1356,1346,582
846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,846,863,867,875,721,834,1001,886,781,864,879,925,872,7
3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,3,14,11,0,5,3,5,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,2015,2178,2061,2079,2201,1811,2395,1707,2455,2134,2132,2062,2157,384
