band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,359,373,368,379,339,385,389,372,12
1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,1381,1073,1567,1826,1697,1232,1708,1643,589
36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,36,39,39,33,37,42,38,39,93
2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,2238,2107,2463,2262,2264,2277,2274,2271,146
2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,2361,2388,2193,2331,2092,2170,3080,2380,168
2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,2863,2931,2894,2781,2937,2964,2893,2922,175
1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,1801,1984,2577,2329,2065,2335,2154,2230,582
1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,1263,1458,1451,1359,1420,1150,1709,1404,7
3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,3424,3196,3650,3397,3437,3394,3109,3780,384
