band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,492,483,504,476,514,495,12
1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,1381,2640,1826,1697,2516,2067,589
51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,51,49,47,55,44,57,93
3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,3025,3018,3027,3029,2758,3299,146
3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,3166,3164,2943,3383,2765,3574,168
3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,3853,3876,3740,3891,3961,3864,175
2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,2674,3127,2890,2953,2897,2934,582
1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,1854,1856,1821,1698,2115,1870,7
3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,3,14,16,8,636,,,,,,,,,,,,,,,,,,,,,,,,
4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,4436,4637,4594,4442,4246,5032,384
