band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,424,423,420,396,453,423,425,12
1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,1381,1073,1567,1826,1697,2516,2067,589
44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,44,43,43,40,42,47,44,93
2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,2594,2573,2145,3062,2594,2583,2605,146
2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,2486,2801,2785,2753,2710,2564,2896,168
3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,3303,3322,3207,3366,3348,3320,3319,175
2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,2362,2628,2499,2451,2518,2518,2499,582
1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,1600,1579,1533,1672,1562,1665,1603,7
3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,3,14,11,5,8,636,,,,,,,,,,,,,,,,,,,,,,,,
3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,3446,4276,3993,3791,4042,3842,3997,384
